protein_id,contig_id,keywords
NC_007917_0024,NC_007917,none
NC_007917_0025,NC_007917,none
NC_007917_0026,NC_007917,none
NC_007917_0027,NC_007917,none
NC_007917_0028,NC_007917,none
NC_007917_0029,NC_007917,none
NC_007917_0030,NC_007917,none
NC_007917_0031,NC_007917,none
NC_007917_0032,NC_007917,none
NC_007917_0033,NC_007917,none
NC_007917_0034,NC_007917,none
NC_007917_0035,NC_007917,none
NC_007917_0036,NC_007917,none
NC_007917_0037,NC_007917,none
NC_007917_0038,NC_007917,none
NC_007917_0039,NC_007917,none
NC_007917_0040,NC_007917,none
NC_007917_0041,NC_007917,none
NC_007917_0042,NC_007917,none
NC_007917_0043,NC_007917,none
NC_007917_0044,NC_007917,none
NC_007917_0045,NC_007917,none
NC_007917_0046,NC_007917,none
NC_007917_0047,NC_007917,none
NC_007917_0048,NC_007917,none
NC_007917_0049,NC_007917,none
NC_007917_0050,NC_007917,none
NC_007917_0051,NC_007917,none
NC_007917_0052,NC_007917,none
NC_007917_0053,NC_007917,none
NC_007917_0054,NC_007917,none
NC_007917_0055,NC_007917,none
NC_007917_0056,NC_007917,none
NC_007917_0057,NC_007917,none
NC_007917_0058,NC_007917,none
NC_007917_0059,NC_007917,none
NC_007917_0060,NC_007917,none
NC_007917_0061,NC_007917,none
NC_007917_0062,NC_007917,none
NC_007917_0063,NC_007917,none
NC_007917_0064,NC_007917,none
NC_007917_0065,NC_007917,none
NC_007917_0066,NC_007917,none
NC_007917_0067,NC_007917,none
NC_007917_0068,NC_007917,none
NC_007917_0069,NC_007917,none
NC_007917_0070,NC_007917,none
NC_007917_0071,NC_007917,none
NC_007917_0072,NC_007917,none
NC_007917_0073,NC_007917,none
NC_007917_0074,NC_007917,none
NC_007917_0075,NC_007917,none
NC_007917_0076,NC_007917,none
NC_007917_0077,NC_007917,none
NC_007917_0078,NC_007917,none
NC_007917_0079,NC_007917,none
NC_007917_0080,NC_007917,none
NC_007917_0081,NC_007917,none
NC_007917_0082,NC_007917,none
NC_007917_0083,NC_007917,none
NC_007917_0084,NC_007917,none
NC_007917_0085,NC_007917,none
NC_007917_0086,NC_007917,none
NC_007917_0087,NC_007917,none
NC_007917_0088,NC_007917,none
NC_007917_0089,NC_007917,none
NC_007917_0090,NC_007917,none
NC_007917_0091,NC_007917,none
NC_007917_0092,NC_007917,none
NC_007917_0093,NC_007917,none
NC_007917_0094,NC_007917,none
MW512570_0001,MW512570,none
MW512570_0002,MW512570,none
MW512570_0003,MW512570,none
MW512570_0004,MW512570,none
MW512570_0005,MW512570,none
MW512570_0006,MW512570,none
MW512570_0007,MW512570,none
MW512570_0008,MW512570,none
MW512570_0009,MW512570,none
MW512570_0010,MW512570,none
MW512570_0011,MW512570,none
MW512570_0012,MW512570,none
MW512570_0013,MW512570,none
MW512570_0014,MW512570,none
MW512570_0015,MW512570,none
MW512570_0016,MW512570,none
MW512570_0017,MW512570,none
MW512570_0018,MW512570,none
MW512570_0019,MW512570,none
MW512570_0020,MW512570,none
MW512570_0021,MW512570,none
MW512570_0022,MW512570,none
MW512570_0023,MW512570,none
MW512570_0024,MW512570,none
MW512570_0025,MW512570,none
MW512570_0026,MW512570,none
MW512570_0027,MW512570,none
MW512570_0028,MW512570,none
MW512570_0029,MW512570,none
MW512570_0030,MW512570,none
MW512570_0031,MW512570,none
MW512570_0032,MW512570,none
MW512570_0033,MW512570,none
MW512570_0034,MW512570,none
MW512570_0035,MW512570,none
MW512570_0036,MW512570,none
MW512570_0037,MW512570,none
MW512570_0038,MW512570,none
MW512570_0039,MW512570,none
MW512570_0040,MW512570,none
MW512570_0041,MW512570,none
MW512570_0042,MW512570,none
MW512570_0043,MW512570,none
MW512570_0044,MW512570,none
MW512570_0045,MW512570,none
MW512570_0046,MW512570,none
MW512570_0047,MW512570,none
MW512570_0048,MW512570,none
MW512570_0049,MW512570,none
MW512570_0050,MW512570,none
MW512570_0051,MW512570,none
MW512570_0052,MW512570,none
MW512570_0053,MW512570,none
MW512570_0054,MW512570,none
MW512570_0055,MW512570,none
MW512570_0056,MW512570,none
MW512570_0057,MW512570,none
MW512570_0058,MW512570,none
MW512570_0059,MW512570,none
MW512570_0060,MW512570,none
MW512570_0061,MW512570,none
MW512570_0062,MW512570,none
MW512570_0063,MW512570,none
MW512570_0064,MW512570,none
MW512570_0065,MW512570,none
MW512570_0066,MW512570,none
MW512570_0067,MW512570,none
MW512570_0068,MW512570,none
MW512570_0069,MW512570,none
MW512570_0070,MW512570,none
MW512570_0071,MW512570,none
MW512570_0072,MW512570,none
MW512571_0001,MW512571,none
MW512571_0002,MW512571,none
MW512571_0003,MW512571,none
MW512571_0004,MW512571,none
MW512571_0005,MW512571,none
MW512571_0006,MW512571,none
MW512571_0007,MW512571,none
MW512571_0008,MW512571,none
MW512571_0009,MW512571,none
MW512571_0010,MW512571,none
MW512571_0011,MW512571,none
MW512571_0012,MW512571,none
MW512571_0013,MW512571,none
MW512571_0014,MW512571,none
MW512571_0015,MW512571,none
MW512571_0016,MW512571,none
MW512571_0017,MW512571,none
MW512571_0018,MW512571,none
MW512571_0019,MW512571,none
MW512571_0020,MW512571,none
MW512571_0021,MW512571,none
MW512571_0022,MW512571,none
MW512571_0023,MW512571,none
MW512571_0024,MW512571,none
MW512571_0025,MW512571,none
MW512571_0026,MW512571,none
MW512571_0027,MW512571,none
MW512571_0028,MW512571,none
MW512571_0029,MW512571,none
MW512571_0030,MW512571,none
MW512571_0031,MW512571,none
MW512571_0032,MW512571,none
MW512571_0033,MW512571,none
MW512571_0034,MW512571,none
MW512571_0035,MW512571,none
MW512571_0036,MW512571,none
MW512571_0037,MW512571,none
MW512571_0038,MW512571,none
MW512571_0039,MW512571,none
MW512571_0040,MW512571,none
MW512571_0041,MW512571,none
MW512571_0042,MW512571,none
MW512571_0043,MW512571,none
MW512571_0044,MW512571,none
MW512571_0045,MW512571,none
MW512571_0046,MW512571,none
MW512571_0047,MW512571,none
MW512571_0048,MW512571,none
MW512571_0049,MW512571,none
MW512571_0050,MW512571,none
MW512571_0051,MW512571,none
MW512571_0052,MW512571,none
MW512571_0053,MW512571,none
MW512571_0054,MW512571,none
MW512571_0055,MW512571,none
MW512571_0056,MW512571,none
MW512571_0057,MW512571,none
MW512571_0058,MW512571,none
MW512571_0059,MW512571,none
NC_048643_0001,NC_048643,none
NC_048643_0002,NC_048643,none
NC_048643_0003,NC_048643,none
NC_048643_0004,NC_048643,none
NC_048643_0005,NC_048643,none
NC_048643_0006,NC_048643,none
NC_048643_0007,NC_048643,none
NC_048643_0008,NC_048643,none
NC_048643_0009,NC_048643,none
NC_048643_0010,NC_048643,none
NC_048643_0011,NC_048643,none
NC_048643_0012,NC_048643,none
NC_048643_0013,NC_048643,none
NC_048643_0014,NC_048643,none
NC_048643_0015,NC_048643,none
NC_048643_0016,NC_048643,none
NC_048643_0017,NC_048643,none
NC_048643_0018,NC_048643,none
NC_048643_0019,NC_048643,none
NC_048643_0020,NC_048643,none
NC_048643_0021,NC_048643,none
NC_048643_0022,NC_048643,none
NC_048643_0023,NC_048643,none
NC_048643_0024,NC_048643,none
NC_048643_0025,NC_048643,none
NC_048643_0026,NC_048643,none
NC_048643_0027,NC_048643,none
NC_048643_0028,NC_048643,none
NC_048643_0029,NC_048643,none
NC_048643_0030,NC_048643,none
NC_048643_0031,NC_048643,none
NC_048643_0032,NC_048643,none
NC_048643_0033,NC_048643,none
NC_048643_0034,NC_048643,none
NC_048643_0035,NC_048643,none
NC_048643_0036,NC_048643,none
NC_048643_0037,NC_048643,none
NC_048643_0038,NC_048643,none
NC_048643_0039,NC_048643,none
NC_048643_0040,NC_048643,none
NC_048643_0041,NC_048643,none
NC_048643_0042,NC_048643,none
NC_048643_0043,NC_048643,none
NC_048643_0044,NC_048643,none
NC_048643_0045,NC_048643,none
NC_048643_0046,NC_048643,none
NC_048643_0047,NC_048643,none
NC_048643_0048,NC_048643,none
NC_048643_0049,NC_048643,none
NC_048643_0050,NC_048643,none
NC_048643_0051,NC_048643,none
NC_048643_0052,NC_048643,none
NC_048643_0053,NC_048643,none
NC_048643_0054,NC_048643,none
NC_048643_0055,NC_048643,none
NC_048643_0056,NC_048643,none
NC_048643_0057,NC_048643,none
NC_048643_0058,NC_048643,none
NC_048643_0059,NC_048643,none
NC_048643_0060,NC_048643,none
NC_048643_0061,NC_048643,none
NC_048643_0062,NC_048643,none
NC_048643_0063,NC_048643,none
NC_048643_0064,NC_048643,none
NC_048643_0065,NC_048643,none
NC_048643_0066,NC_048643,none
NC_048643_0067,NC_048643,none
NC_048643_0068,NC_048643,none
NC_048643_0069,NC_048643,none
NC_048643_0070,NC_048643,none
NC_048643_0071,NC_048643,none
NC_048643_0072,NC_048643,none
NC_048643_0073,NC_048643,none
NC_048643_0074,NC_048643,none
NC_048643_0075,NC_048643,none
NC_048643_0076,NC_048643,none
NC_048643_0077,NC_048643,none
NC_048643_0078,NC_048643,none
NC_048643_0079,NC_048643,none
NC_048643_0080,NC_048643,none
NC_048643_0081,NC_048643,none
NC_048642_0001,NC_048642,none
NC_048642_0002,NC_048642,none
NC_048642_0003,NC_048642,none
NC_048642_0004,NC_048642,none
NC_048642_0005,NC_048642,none
NC_048642_0006,NC_048642,none
NC_048642_0007,NC_048642,none
NC_048642_0008,NC_048642,none
NC_048642_0009,NC_048642,none
NC_048642_0010,NC_048642,none
NC_048642_0011,NC_048642,none
NC_048642_0012,NC_048642,none
NC_048642_0013,NC_048642,none
NC_048642_0014,NC_048642,none
NC_048642_0015,NC_048642,none
NC_048642_0016,NC_048642,none
NC_048642_0017,NC_048642,none
NC_048642_0018,NC_048642,none
NC_048642_0019,NC_048642,none
NC_048642_0020,NC_048642,none
NC_048642_0021,NC_048642,none
NC_048642_0022,NC_048642,none
NC_048642_0023,NC_048642,none
NC_048642_0024,NC_048642,none
NC_048642_0025,NC_048642,none
NC_048642_0026,NC_048642,none
NC_048642_0027,NC_048642,none
NC_048642_0028,NC_048642,none
NC_048642_0029,NC_048642,none
NC_048642_0030,NC_048642,none
NC_048642_0031,NC_048642,none
NC_048642_0032,NC_048642,none
NC_048642_0033,NC_048642,none
NC_048642_0034,NC_048642,none
NC_048642_0035,NC_048642,none
NC_048642_0036,NC_048642,none
NC_048642_0037,NC_048642,none
NC_048642_0038,NC_048642,none
NC_048642_0039,NC_048642,none
NC_048642_0040,NC_048642,none
NC_048642_0041,NC_048642,none
NC_048642_0042,NC_048642,none
NC_048642_0043,NC_048642,none
NC_048642_0044,NC_048642,none
NC_048642_0045,NC_048642,none
NC_048642_0046,NC_048642,none
NC_048642_0047,NC_048642,none
NC_048642_0048,NC_048642,none
NC_048642_0049,NC_048642,none
NC_048642_0050,NC_048642,none
NC_048642_0051,NC_048642,none
NC_048642_0052,NC_048642,none
NC_048642_0053,NC_048642,none
NC_048642_0054,NC_048642,none
NC_048642_0055,NC_048642,none
NC_048642_0056,NC_048642,none
NC_048642_0057,NC_048642,none
NC_048642_0058,NC_048642,none
NC_048642_0059,NC_048642,none
NC_048642_0060,NC_048642,none
NC_048642_0061,NC_048642,none
NC_048642_0062,NC_048642,none
NC_048642_0063,NC_048642,none
NC_048642_0064,NC_048642,none
NC_048642_0065,NC_048642,none
NC_048642_0066,NC_048642,none
NC_048642_0067,NC_048642,none
NC_048642_0068,NC_048642,none
NC_048642_0069,NC_048642,none
NC_048642_0070,NC_048642,none
NC_048642_0071,NC_048642,none
NC_048642_0072,NC_048642,none
NC_048642_0073,NC_048642,none
NC_048642_0074,NC_048642,none
NC_024144_0001,NC_024144,none
NC_024144_0002,NC_024144,none
NC_024144_0003,NC_024144,none
NC_024144_0004,NC_024144,none
NC_024144_0005,NC_024144,none
NC_024144_0006,NC_024144,none
NC_024144_0007,NC_024144,none
NC_024144_0008,NC_024144,none
NC_024144_0009,NC_024144,none
NC_024144_0010,NC_024144,none
NC_024144_0011,NC_024144,none
NC_024144_0012,NC_024144,none
NC_024144_0013,NC_024144,none
NC_024144_0014,NC_024144,none
NC_024144_0015,NC_024144,none
NC_024144_0016,NC_024144,none
NC_024144_0017,NC_024144,none
NC_024144_0018,NC_024144,none
NC_024144_0019,NC_024144,none
NC_024144_0020,NC_024144,none
NC_024144_0021,NC_024144,none
NC_024144_0022,NC_024144,none
NC_024144_0023,NC_024144,none
NC_024144_0024,NC_024144,none
NC_024144_0025,NC_024144,none
NC_024144_0026,NC_024144,none
NC_024144_0027,NC_024144,none
NC_024144_0028,NC_024144,none
NC_024144_0029,NC_024144,none
NC_024144_0030,NC_024144,none
NC_024144_0031,NC_024144,none
NC_024144_0032,NC_024144,none
NC_024144_0033,NC_024144,none
NC_024144_0034,NC_024144,none
NC_024144_0035,NC_024144,none
NC_024144_0036,NC_024144,none
NC_024144_0037,NC_024144,none
NC_024144_0038,NC_024144,none
NC_024144_0039,NC_024144,none
NC_024144_0040,NC_024144,none
NC_024144_0041,NC_024144,none
NC_024144_0042,NC_024144,none
NC_024144_0043,NC_024144,none
NC_024144_0044,NC_024144,none
NC_024144_0045,NC_024144,none
NC_024144_0046,NC_024144,none
NC_024144_0047,NC_024144,none
NC_024144_0048,NC_024144,none
NC_024144_0049,NC_024144,none
NC_024144_0050,NC_024144,none
NC_024144_0051,NC_024144,none
NC_024144_0052,NC_024144,none
NC_024144_0053,NC_024144,none
NC_024144_0054,NC_024144,none
NC_024144_0055,NC_024144,none
NC_024144_0056,NC_024144,none
NC_024144_0057,NC_024144,none
NC_024144_0058,NC_024144,none
NC_024144_0059,NC_024144,none
NC_024144_0060,NC_024144,none
NC_024144_0061,NC_024144,none
NC_024144_0062,NC_024144,none
NC_024144_0063,NC_024144,none
NC_024144_0064,NC_024144,none
NC_024144_0065,NC_024144,none
NC_024144_0066,NC_024144,none
NC_024144_0067,NC_024144,none
NC_024144_0068,NC_024144,none
NC_024144_0069,NC_024144,none
NC_024144_0070,NC_024144,none
NC_024144_0071,NC_024144,none
NC_024144_0072,NC_024144,none
NC_024144_0073,NC_024144,none
NC_024144_0074,NC_024144,none
NC_024144_0075,NC_024144,none
NC_024144_0076,NC_024144,none
NC_024144_0077,NC_024144,none
NC_024144_0078,NC_024144,none
NC_024144_0079,NC_024144,none
NC_024144_0080,NC_024144,none
NC_024144_0081,NC_024144,none
NC_024144_0082,NC_024144,none
NC_024144_0083,NC_024144,none
NC_024144_0084,NC_024144,none
NC_024144_0085,NC_024144,none
NC_024144_0086,NC_024144,none
NC_024144_0087,NC_024144,none
NC_024144_0088,NC_024144,none
KU057941_0001,KU057941,none
KU057941_0002,KU057941,none
KU057941_0003,KU057941,none
KU057941_0004,KU057941,none
KU057941_0005,KU057941,none
KU057941_0006,KU057941,none
KU057941_0007,KU057941,none
KU057941_0008,KU057941,none
KU057941_0009,KU057941,none
KU057941_0010,KU057941,none
KU057941_0011,KU057941,none
KU057941_0012,KU057941,none
KU057941_0013,KU057941,none
KU057941_0014,KU057941,none
KU057941_0015,KU057941,none
KU057941_0016,KU057941,none
KU057941_0017,KU057941,none
KU057941_0018,KU057941,none
KU057941_0019,KU057941,none
KU057941_0020,KU057941,none
KU057941_0021,KU057941,none
KU057941_0022,KU057941,none
KU057941_0023,KU057941,none
KU057941_0024,KU057941,none
KU057941_0025,KU057941,none
KU057941_0026,KU057941,none
KU057941_0027,KU057941,none
KU057941_0028,KU057941,none
KU057941_0029,KU057941,none
KU057941_0030,KU057941,none
KU057941_0031,KU057941,none
KU057941_0032,KU057941,none
KU057941_0033,KU057941,none
KU057941_0034,KU057941,none
KU057941_0035,KU057941,none
KU057941_0036,KU057941,none
KU057941_0037,KU057941,none
KU057941_0038,KU057941,none
KU057941_0039,KU057941,none
KU057941_0040,KU057941,none
KU057941_0041,KU057941,none
KU057941_0042,KU057941,none
KU057941_0043,KU057941,none
KU057941_0044,KU057941,none
KU057941_0045,KU057941,none
KU057941_0046,KU057941,none
KU057941_0047,KU057941,none
KU057941_0048,KU057941,none
KU057941_0049,KU057941,none
KU057941_0050,KU057941,none
KU057941_0051,KU057941,none
CP067347_0001,CP067347,none
CP067347_0002,CP067347,none
CP067347_0003,CP067347,none
CP067347_0004,CP067347,none
CP067347_0005,CP067347,none
CP067347_0006,CP067347,none
CP067347_0007,CP067347,none
CP067347_0008,CP067347,none
CP067347_0009,CP067347,none
CP067347_0010,CP067347,none
CP067347_0011,CP067347,none
CP067347_0012,CP067347,none
CP067347_0013,CP067347,none
CP067347_0014,CP067347,none
CP067347_0015,CP067347,none
CP067347_0016,CP067347,none
CP067347_0017,CP067347,none
CP067347_0018,CP067347,none
CP067347_0019,CP067347,none
CP067347_0020,CP067347,none
CP067347_0021,CP067347,none
CP067347_0022,CP067347,none
CP067347_0023,CP067347,none
CP067347_0024,CP067347,none
CP067347_0025,CP067347,none
CP067347_0026,CP067347,none
CP067347_0027,CP067347,none
CP067347_0028,CP067347,none
CP067347_0029,CP067347,none
CP067347_0030,CP067347,none
CP067347_0031,CP067347,none
CP067347_0032,CP067347,none
CP067347_0033,CP067347,none
CP067347_0034,CP067347,none
CP067347_0035,CP067347,none
CP067347_0036,CP067347,none
CP067347_0037,CP067347,none
CP067347_0038,CP067347,none
CP067347_0039,CP067347,none
CP067347_0040,CP067347,none
CP067347_0041,CP067347,none
CP067347_0042,CP067347,none
CP067347_0043,CP067347,none
CP067347_0044,CP067347,none
CP067347_0045,CP067347,none
CP067347_0046,CP067347,none
CP067347_0047,CP067347,none
CP067347_0048,CP067347,none
CP067347_0049,CP067347,none
CP067347_0050,CP067347,none
CP067347_0051,CP067347,none
CP067347_0052,CP067347,none
CP067347_0053,CP067347,none
CP067347_0054,CP067347,none
CP067347_0055,CP067347,none
CP067347_0056,CP067347,none
CP067347_0057,CP067347,none
CP067347_0058,CP067347,none
CP067347_0059,CP067347,none
CP067347_0060,CP067347,none
CP067347_0061,CP067347,none
CP067347_0062,CP067347,none
CP067347_0063,CP067347,none
CP067347_0064,CP067347,none
CP067347_0065,CP067347,none
CP067347_0066,CP067347,none
CP067347_0067,CP067347,none
CP067347_0068,CP067347,none
CP067347_0069,CP067347,none
CP067347_0070,CP067347,none
CP067347_0071,CP067347,none
CP067347_0072,CP067347,none
CP067347_0073,CP067347,none
CP067347_0074,CP067347,none
CP067347_0075,CP067347,none
CP067347_0076,CP067347,none
